name,corp,city,salary,pub_date
软件测试工程师,北京腾信软创科技股份有限公司,北京-西城区,1-1.5万/月,03-30
Modem DS SW developer(协议栈软件工程师),高通无线通信技术（中国）有限公司,北京,空,03-30
算法科学家(算法团队Leader),北京汇信世通咨询有限公司,异地招聘,5-6万/月,03-30
业务运维工程师,中科金审（北京）科技有限公司,北京,6-8千/月,03-30
算法工程师,深圳市酷开网络科技有限公司,北京,2-3.5万/月,03-30
测试开发工程师,神州网信技术有限公司,北京,1.5-2万/月,03-30
Java后台开发工程师—大数据,北京讯众通信技术股份有限公司,北京-朝阳区,1.5-3万/月,03-30
业务分析师,吉贝克信息技术有限公司,北京-海淀区,1-1.5万/月,03-30
运维工程师,建信融通有限责任公司,北京-西城区,17-30万/年,03-29
数据运营分析师,神策网络科技（北京）有限公司,北京-海淀区,1.5-2.5万/月,03-29
Web应用开发工程师,北京卡讵人才服务有限公司,北京-海淀区,1.5-2万/月,03-29
广告算法工程师,北京恩穗企业咨询有限责任公司,异地招聘,3-6万/月,03-29
软件工程师,萨姆森控制设备（中国）有限公司,北京-大兴区,6-8千/月,03-29
高级测试工程师,深圳百果园实业发展有限公司,北京,1.5-2万/月,03-29
ROS开发工程师,上海一坤电气工程有限公司,北京,1-2万/月,03-29
测试岗,清华大学信息化技术中心,北京-海淀区,0.8-2万/月,03-29
数据挖掘分析师,中国移动通信集团北京有限公司,北京,空,03-29
系统工程师,政务和公益机构域名注册管理中心（...,北京-海淀区,1-2万/月,03-29
大数据工程师,北京聚量广告传媒有限公司,北京-朝阳区,2-4万/月,03-29
互联网大数据运维工程师,天津人瑞人力资源服务有限公司,北京-朝阳区,2.5-5万/月,03-29
测试开发工程师,立信会计师事务所（特殊普通合伙）...,北京-丰台区,1.5-2.5万/月,03-29
安全服务工程师,杭州安恒信息技术股份有限公司,北京-海淀区,0.7-2.2万/月,03-29
产品架构工程师,北京天健源达科技股份有限公司,北京-丰台区,1.5-1.9万/月,03-29
工业大数据算法工程师（代招,北京华鑫安盾商贸有限公司,北京-海淀区,1-1.5万/月,03-29
生信工程师,北京优乐复生科技有限责任公司,北京-昌平区,1.5-2万/月,03-29
高级测试开发工程师,北京紫光得瑞科技有限公司,北京-昌平区,1.5-2万/月,03-29
软件开发工程师-数据处理,Qualcomm中国,北京-东城区,2-2.5万/月,03-29
前端开发工程师,北京众志好活科技有限公司,北京-东城区,1-1.5万/月,03-29
IC架构工程师,西安惠雷通信技术有限公司,北京-海淀区,0.8-1.3万/月,03-29
视觉算法工程师,龙铁纵横（北京）轨道交通科技股份...,北京,1.5-3万/月,03-29
生物信息工程师,北京光辉力成医药有限公司,北京-昌平区,1-1.5万/月,03-29
项目经理,上海科旭网络科技股份有限公司,北京-西城区,1-1.5万/月,03-29
芯片IC验证工程师,北京德才仕科技有限公司,北京-海淀区,1.4-3万/月,03-29
信用体系建设管理咨询顾问,诺一联合企业管理咨询（北京）有限...,北京-石景山区,0.6-1.2万/月,03-29
基因数据分析专员,北京预立创投生物医学科技有限公司,北京,0.8-1.5万/月,03-29
软件实施工程师,北京弘恒科技有限公司,北京,0.9-1.2万/月,03-29
深度学习算法工程师,全美测评软件系统（北京）有限公司,北京-朝阳区,1-3万/月,03-29
C、C++ 工程师（网络协议、数据库协议、数据库日志）,深圳市沃信科技有限公司,北京-朝阳区,1-1.5万/月,03-29
测试岗-安全方向,银清科技（北京）有限公司（中国人...,北京-海淀区,1-1.5万/月,03-29
人工智能研发工程师（音视频处理方向）,北京博苑未来管理顾问有限公司,北京-海淀区,0.8-1.5万/月,03-29
系统维护工程师,中国民航信息网络股份有限公司,北京,空,03-29
售前工程师,昆腾存储科技（深圳）有限公司,北京-朝阳区,20-30万/年,03-29
运维开发工程师,深圳天源迪科信息技术股份有限公司...,北京-东城区,1.2-1.5万/月,03-29
Senior Software Engineer 高级开发工程师,红帽软件（北京）有限公司,北京-海淀区,20-30万/年,03-29
数据治理平台架构师,北京联海信息系统有限公司,北京-石景山区,1-1.5万/月,03-29
特效主管,北京色彩空间文化传媒有限公司,北京,1.2-1.5万/月,03-29
数据分析工程师,北京寄云鼎城科技有限公司,北京-海淀区,2-4万/月,03-29
大数据维护/开发,陕西万德信息科技股份有限公司,北京-大兴区,6-9千/月,03-29
客户服务中心-数据分析工程师(J13595),金风科技-风机单元-质控中心,北京,1.5-2万/月,03-29
运维工程师,北京北信源软件股份有限公司,北京-海淀区,0.5-1.5万/月,03-29
IC验证工程师,华夏芯（北京）通用处理器技术有限...,北京-海淀区,1.5-2.5万/月,03-29
Web前端开发工程师,盈科视控（北京）科技有限公司,北京-昌平区,1-1.5万/月,03-28
大数据开发工程师,上海芮美生物科技有限公司,北京-海淀区,20-70万/年,03-28
生物信息工程师,北京金准基因科技有限责任公司,北京-海淀区,0.8-1.6万/月,03-28
Research Scientist- Molecular Analysis,先正达（中国）投资有限公司,北京-昌平区,20-30万/年,03-28
算法 工程师,中广核贝谷科技股份有限公司,北京-海淀区,2.5-3.5万/月,03-28
软件项目实施经理,北京数字政通科技股份有限公司,北京-通州区,1-1.5万/月,03-28
初级软件测试工程师（实习/应届）,北京量子保科技有限公司,北京-海淀区,4.5-6千/月,03-28
高级运维工程师,乐友国际商业集团有限公司,北京,1.5-2万/月,03-28
运维工程师,上海全成通信技术有限公司,北京,5-8千/月,03-28
Java中级开发（石景山办公）,北京友友天宇系统技术有限公司,北京-石景山区,0.8-1.3万/月,03-28
自然语言处理（NLP）实习生,西安翼展电子科技有限公司,北京-朝阳区,140元/天,03-28
Principal Data Scientist,韩领网络科技（上海）有限公司,北京-朝阳区,4-7万/月,03-28
Oracle数据库DBA,北京市速连科通信设备有限责任公司,北京-西城区,1-1.5万/月,03-28
AI数据工程师,神州灵云（北京）科技有限公司,北京-朝阳区,2-2.5万/月,03-28
c/c++研发工程师（缓存）,北京东方网信科技股份有限公司,北京-海淀区,1-1.5万/月,03-28
大数据开发工程师,北京兴财信息技术有限责任公司,北京-东城区,1.5-2.5万/月,03-28
影视数据分析师,上海冠勇信息科技有限公司,北京-朝阳区,1.5-2万/月,03-28
商业分析师,北京热云科技有限公司,北京-朝阳区,2-4万/月,03-28
大数据架构师,青海恒信融锂业科技有限公司,异地招聘,1.5-2.5万/月,03-28
系统资深工程师（系统运维）,北京天地祥云科技有限公司,北京-朝阳区,0.8-1.2万/月,03-28
数据分析师,中油龙慧自动化工程有限公司,北京-西城区,0.8-1万/月,03-28
测试专员php,北京大象联盟国际经贸中心,北京-海淀区,6-8千/月,03-28
后端工程师（华电智成）,北京华电天德科技园有限公司,北京-昌平区,1.5-2万/月,03-28
大数据开发工程师,民航数据通信有限责任公司,北京,10-30万/年,03-28
自然语言处理工程师（NLP）,北京万方软件有限公司,北京,1.5-2.5万/月,03-28
高级测试工程师,北京悦琦医疗科技有限公司,北京-大兴区,1-2万/月,03-28
自动驾驶系统软件工程师,北京纵目安驰智能科技有限公司,北京-昌平区,2.5-3.5万/月,03-28
ADAS视觉算法工程师,纵目科技（上海）股份有限公司,北京-昌平区,2-3.5万/月,03-28
架构师,开放智能机器（上海）有限公司,北京-海淀区,2.5-4万/月,03-28
高级运维工程师 (MJ000016),北京卡路里信息技术有限公司,北京-东城区,2.5-3.5万/月,03-28
数据分析师,南京烽火星空通信发展有限公司,北京,1-1.8万/月,03-27
首席技术官CTO,北京铭软云视科技有限公司,北京-海淀区,4-5万/月,03-27
Linux测试开发工程师/测试开发主管,北京凝思科技有限公司,北京-海淀区,0.6-1.2万/月,03-27
IT系统工程师,中金数据系统有限公司,北京,1.5-2万/月,03-27
中级Java开发工程师,高伟达软件股份有限公司,北京-海淀区,1-1.5万/月,03-27
数据治理工程师,北京明略软件系统有限公司,北京-海淀区,1-1.5万/月,03-27
Web前端开发工程师,北京凡影科技有限公司,北京-朝阳区,1.5-2万/月,03-27
应用工程师(LabVIEW),北京中科泛华测控技术有限公司,北京-海淀区,0.6-1万/月,03-27
咨询顾问（数据分析方向）,上海博阳精讯信息科技有限公司,北京-东城区,0.5-1万/月,03-27
IC验证工程师,联发科技股份有限公司,北京-朝阳区,30-45万/年,03-27
产品测试工程师,普源精电科技有限公司,北京-海淀区,0.6-1.2万/月,03-27
金融行业模型师,北京泛鹏天地科技股份有限公司,北京-朝阳区,1-1.8万/月,03-27
信息技术部-运营维护岗,国富人寿保险股份有限公司,北京,1-3万/月,03-27
测试开发工程师,北京直客通科技有限公司,北京-朝阳区,2.5-3万/月,03-27
技术服务工程师,北京永鼎致远网络科技有限公司,北京-海淀区,6-8千/月,03-27
初中级ETL数据开发工程师,中信网络科技股份有限公司,异地招聘,1-1.4万/月,03-27
数据库运维管理,北京阿提拉科技有限公司,北京,1-1.5万/月,03-27
C++软件开发工程师,北京迪浩永辉技术有限公司,北京-石景山区,1-1.5万/月,03-27
数据分析师（大数据）,北京赛思天成科技有限责任公司,北京-昌平区,0.8-1万/月,03-27
自动化运维工程师（西二旗）,南京优玛软件科技有限公司,北京-海淀区,1.5-2万/月,03-27
数据分析师,北京微酷客科技有限公司,北京-丰台区,1-2万/月,03-27
软件开发软件测试工程师,沈阳亚诗达科技有限公司,北京,0.6-1万/月,03-27
Revit二次开发工程师,北京国道通公路设计研究院股份有限...,北京-海淀区,0.8-1.2万/月,03-27
算法工程师,天宇正清科技有限公司,异地招聘,2-2.5万/月,03-27
北斗产品管理专员,北京讯腾智慧科技股份有限公司,北京,0.8-1.2万/月,03-27
